U+E003		AD	🇦🇩
U+E399		GB_ORK	🏴󠁧󠁢󠁯󠁲󠁫󠁿
U+E39A		GB_PEM	🏴󠁧󠁢󠁰󠁥󠁭󠁿
U+E39B		GB_SCT	🏴󠁧󠁢󠁳󠁣󠁴󠁿
U+E39C		GB_SRY	🏴󠁧󠁢󠁳󠁲󠁹󠁿
U+E39D		GB_VGL	🏴󠁧󠁢󠁶󠁧󠁬󠁿
U+E39E		GB_WLS	🏴󠁧󠁢󠁷󠁬󠁳󠁿
U+E39F		GB_XBR	🏴󠁧󠁢󠁸󠁢󠁲󠁿
U+E3A0		GB_XCA	🏴󠁧󠁢󠁸󠁣󠁡󠁿
U+E3A1		GB_XCR	🏴󠁧󠁢󠁸󠁣󠁲󠁿
U+E3A2		GB_XKD	🏴󠁧󠁢󠁸󠁫󠁤󠁿
U+E3A3		GB_XME	🏴󠁧󠁢󠁸󠁭󠁥󠁿
U+E3A4		GB_ZET	🏴󠁧󠁢󠁺󠁥󠁴󠁿
U+E3C0		IE_C	🏴󠁩󠁥󠁣󠁿
U+E3C1		IE_L	🏴󠁩󠁥󠁬󠁿
U+E3C2		IE_M	🏴󠁩󠁥󠁭󠁿
U+E3C3		IE_U	🏴󠁩󠁥󠁵󠁿
U+E3D0		IQ_KR	🏴󠁩󠁱󠁫󠁲󠁿
U+E3E0		NL_FR	🏴󠁮󠁬󠁦󠁲󠁿
U+E400		US_AK	🏴󠁵󠁳󠁡󠁫󠁿
U+E401		US_AL	🏴󠁵󠁳󠁡󠁬󠁿
U+E402		US_AZ	🏴󠁵󠁳󠁡󠁺󠁿
U+E403		US_CA	🏴󠁵󠁳󠁣󠁡󠁿
U+E404		US_CO	🏴󠁵󠁳󠁣󠁯󠁿
U+E405		US_DC	🏴󠁵󠁳󠁤󠁣󠁿
U+E406		US_HI	🏴󠁵󠁳󠁨󠁩󠁿
U+E407		US_IN	🏴󠁵󠁳󠁩󠁮󠁿
U+E408		US_MD	🏴󠁵󠁳󠁭󠁤󠁿
U+E409		US_NM	🏴󠁵󠁳󠁮󠁭󠁿
U+E40A		US_SC	🏴󠁵󠁳󠁳󠁣󠁿
U+E40B		US_TN	🏴󠁵󠁳󠁴󠁮󠁿
U+E40C		US_TX	🏴󠁵󠁳󠁴󠁸󠁿
